Percentages,Lower Bond,pm25,Percentages,Lower Bond,pm10,Percentages,Lower Bond,o3,Percentages,Lower Bond,no2,Percentages,Lower Bond,so2,Percentages,Lower Bond,co
56.80%,70,83,4.10%,10,12,11.90%,12,21,15.50%,0,6,50.80%,0,4,16.70%,2,4
56.40%,70,78,35.30%,20,32,92.40%,59,60,67.50%,6,8,86.90%,4,8,43.70%,2,3
70.50%,70,83,82.20%,40,53,36.40%,23,30,18.60%,0,3,43.20%,0,4,98.70%,8,9
40.60%,50,66,19.10%,20,28,57.60%,35,42,56.60%,6,13,90.50%,4,8,11.20%,2,3
42.70%,50,68,62.20%,30,43,85.20%,47,53,12.20%,0,7,53.60%,0,2,28.30%,2,4
94.90%,110,111,79.20%,40,54,41.20%,23,29,92.00%,18,26,88.80%,4,5,98.50%,8,9
78.80%,90,105,42.80%,30,44,31.20%,23,27,58.80%,6,8,2.00%,0,3,53.00%,2,3
6.80%,30,39,33.30%,20,24,1.10%,0,6,22.70%,0,7,28.90%,0,1,15.30%,2,4
54.30%,50,67,52.90%,30,42,18.90%,23,27,2.10%,0,1,21.60%,0,3,95.80%,6,7
81.60%,90,109,11.30%,10,16,77.10%,35,39,80.30%,12,14,48.70%,0,3,88.80%,6,8
18.40%,30,31,8.10%,10,23,42.80%,23,31,93.60%,18,23,73.90%,0,1,82.30%,4,6
91.20%,110,111,34.10%,20,33,42.20%,23,28,50.60%,6,14,29.70%,0,4,98.30%,8,10
53.10%,50,61,69.60%,40,51,66.80%,35,46,57.10%,6,9,69.70%,0,4,70.20%,4,5
42.70%,50,59,17.10%,20,22,52.00%,35,45,83.10%,12,15,78.00%,4,6,4.20%,0,2
8.00%,30,45,37.60%,20,28,29.20%,23,34,52.60%,6,7,8.90%,0,3,70.50%,4,5
40.50%,50,69,16.10%,10,15,88.40%,47,52,85.20%,12,16,39.70%,0,0,86.20%,4,5
79.30%,90,101,30.50%,20,31,51.60%,35,43,61.80%,6,14,47.90%,0,2,12.20%,2,3
91.20%,110,121,55.00%,30,33,88.90%,47,55,28.30%,6,13,64.80%,0,0,19.10%,2,3
51.10%,50,70,94.20%,60,68,16.40%,12,14,74.50%,12,17,66.10%,0,3,74.60%,4,5
67.80%,70,78,14.60%,10,17,67.50%,35,43,64.30%,6,11,48.50%,0,0,92.00%,6,7
34.50%,50,60,9.50%,10,18,80.00%,47,48,98.20%,24,27,6.10%,0,0,31.90%,2,4
90.30%,110,123,21.80%,20,23,37.80%,23,31,77.60%,12,20,63.70%,0,1,44.80%,2,4
70.80%,70,81,42.30%,30,40,29.00%,23,25,57.70%,6,13,41.50%,0,4,52.10%,2,3
51.80%,50,64,16.80%,20,31,18.00%,23,26,75.20%,12,17,22.00%,0,0,91.10%,6,7
31.30%,50,62,31.80%,20,31,92.70%,59,66,93.10%,18,21,91.70%,4,7,77.50%,4,5
59.60%,70,75,6.20%,10,21,36.70%,23,32,93.60%,18,23,65.60%,0,0,29.70%,2,4
68.80%,70,79,15.60%,10,14,45.40%,23,24,30.30%,6,12,80.60%,4,5,46.50%,2,4
22.00%,50,51,21.70%,20,32,42.90%,23,24,50.60%,6,10,81.70%,4,7,2.20%,0,2
79.20%,90,91,16.60%,10,15,24.60%,23,25,62.80%,6,11,36.00%,0,3,89.60%,6,8
89.50%,90,92,34.40%,20,28,32.80%,23,34,24.60%,6,10,96.00%,8,10,65.80%,4,6
52.60%,50,51,85.20%,50,57,89.50%,47,56,9.40%,0,7,74.60%,0,0,21.20%,2,4
7.50%,30,49,59.60%,30,41,91.60%,59,62,36.50%,6,11,30.00%,0,4,33.60%,2,4
54.60%,50,53,59.10%,30,31,19.90%,23,25,48.00%,6,12,51.80%,0,1,43.10%,2,4
8.30%,30,46,59.50%,30,42,61.50%,35,39,79.10%,12,17,96.00%,8,12,46.60%,2,3
8.50%,30,46,98.70%,70,84,42.50%,23,24,57.40%,6,8,64.10%,0,1,62.20%,4,5
16.00%,30,36,12.00%,10,15,40.50%,23,34,69.60%,6,11,54.00%,0,3,27.90%,2,4
0.50%,10,13,28.70%,20,27,42.80%,23,34,65.10%,6,14,56.70%,0,3,76.80%,4,6
64.50%,70,83,92.30%,50,51,79.00%,47,48,28.80%,6,7,18.40%,0,2,18.00%,2,4
95.60%,110,128,23.50%,20,23,9.20%,12,18,0.40%,0,2,69.70%,0,1,27.50%,2,3
95.50%,110,111,62.60%,30,37,54.70%,35,38,61.00%,6,8,66.20%,0,2,75.70%,4,6
32.70%,50,70,29.50%,20,30,57.20%,35,44,12.40%,0,4,64.70%,0,3,73.60%,4,6
67.20%,70,74,23.40%,20,32,90.50%,47,55,60.30%,6,13,83.20%,4,8,52.60%,2,4
18.00%,30,40,18.80%,20,26,100.00%,107,118,66.10%,6,8,42.10%,0,4,9.10%,0,1
22.60%,50,66,47.90%,30,44,23.00%,23,29,94.60%,18,22,85.20%,4,7,44.90%,2,3
86.20%,90,94,10.30%,10,17,95.30%,59,62,61.30%,6,10,37.90%,0,3,90.90%,6,8
58.80%,70,77,37.60%,20,23,23.30%,23,30,59.90%,6,9,17.00%,0,3,79.70%,4,5
97.20%,130,131,82.30%,40,52,98.30%,71,72,12.80%,0,5,80.40%,4,7,83.10%,4,6
59.50%,70,77,70.20%,40,43,80.30%,47,50,12.60%,0,6,87.10%,4,5,16.40%,2,4
24.30%,50,52,36.30%,20,31,25.20%,23,25,30.80%,6,9,68.80%,0,3,54.30%,4,5
74.60%,70,81,82.80%,40,46,42.80%,23,25,4.40%,0,0,27.30%,0,4,3.10%,0,2
94.30%,110,125,67.00%,40,48,65.60%,35,37,69.40%,6,12,96.30%,8,9,71.80%,4,6
13.10%,30,37,81.60%,40,43,45.80%,23,30,81.40%,12,13,9.60%,0,3,0.50%,0,0
44.00%,50,64,30.70%,20,33,35.60%,23,34,91.80%,18,23,75.60%,0,1,25.40%,2,4
84.20%,90,109,12.10%,10,19,25.00%,23,25,9.40%,0,1,40.60%,0,3,41.40%,2,3
58.30%,70,82,39.00%,20,28,99.60%,95,106,77.00%,12,19,12.70%,0,3,7.40%,0,2
37.60%,50,54,46.60%,30,33,32.70%,23,33,96.60%,18,19,28.20%,0,4,55.10%,4,5
53.60%,50,52,76.80%,40,51,93.00%,59,67,69.80%,6,14,23.70%,0,1,22.20%,2,4
97.80%,130,150,85.10%,50,64,57.00%,35,44,69.50%,6,14,70.10%,0,2,33.90%,2,3
62.00%,70,88,50.20%,30,42,1.70%,0,4,27.50%,6,8,73.10%,0,1,87.50%,4,5
20.80%,30,31,44.20%,30,42,6.80%,12,18,19.00%,0,2,75.10%,0,4,23.30%,2,3
72.30%,70,81,24.10%,20,33,98.10%,71,72,22.40%,0,3,55.70%,0,1,25.10%,2,3
63.60%,70,82,74.70%,40,52,51.90%,35,46,18.30%,0,0,64.00%,0,4,67.10%,4,5
64.70%,70,76,37.60%,20,29,30.60%,23,32,21.50%,0,5,0.70%,0,0,37.60%,2,3
3.70%,10,27,74.50%,40,42,4.00%,12,17,1.80%,0,5,23.00%,0,1,54.40%,4,6
96.50%,130,148,79.60%,40,43,60.90%,35,41,44.80%,6,9,0.60%,0,4,25.90%,2,3
79.40%,90,102,4.60%,10,21,34.40%,23,27,23.00%,0,4,24.90%,0,2,85.00%,4,5
86.50%,90,108,17.10%,20,26,10.20%,12,22,27.10%,6,13,96.80%,8,9,54.00%,2,4
93.30%,110,111,96.00%,60,66,46.60%,23,34,5.40%,0,3,6.90%,0,0,77.30%,4,6
4.60%,10,29,74.70%,40,44,37.90%,23,24,18.50%,0,2,56.20%,0,3,86.10%,4,5
89.70%,90,96,4.90%,10,15,74.10%,35,36,25.90%,6,7,86.30%,4,6,69.50%,4,6
12.10%,30,50,30.70%,20,26,44.20%,23,31,7.20%,0,5,80.60%,4,6,79.30%,4,5
39.50%,50,51,27.80%,20,27,33.70%,23,28,78.30%,12,17,16.40%,0,3,50.40%,2,3
30.20%,50,59,92.00%,50,64,26.90%,23,31,56.60%,6,12,84.70%,4,6,53.00%,2,4
42.90%,50,56,58.20%,30,39,15.80%,12,18,41.20%,6,11,73.90%,0,0,91.90%,6,7
44.00%,50,57,25.10%,20,32,33.00%,23,31,98.00%,24,32,82.80%,4,7,76.30%,4,6
69.90%,70,83,20.80%,20,21,22.00%,23,30,19.00%,0,5,51.60%,0,0,19.30%,2,3
10.50%,30,44,2.20%,10,14,93.80%,59,64,11.30%,0,7,40.80%,0,1,48.50%,2,3
40.40%,50,57,81.10%,40,53,86.80%,47,52,17.20%,0,7,84.60%,4,7,60.90%,4,6
10.00%,30,50,80.90%,40,51,28.50%,23,32,59.50%,6,8,74.30%,0,3,4.40%,0,2
84.70%,90,93,14.10%,10,12,49.50%,23,25,25.30%,6,14,97.40%,8,12,77.90%,4,5
35.30%,50,62,11.80%,10,22,15.90%,12,20,8.90%,0,1,54.50%,0,1,81.20%,4,5
12.00%,30,43,72.90%,40,46,38.60%,23,29,78.10%,12,18,63.30%,0,1,19.70%,2,3
98.10%,130,148,89.60%,50,59,64.80%,35,44,96.60%,18,22,75.00%,0,3,71.10%,4,6
50.00%,50,57,70.50%,40,47,5.60%,12,13,77.80%,12,16,37.60%,0,1,40.50%,2,4
53.50%,50,68,43.00%,30,31,59.60%,35,36,42.10%,6,11,23.30%,0,1,54.50%,4,5
23.60%,50,55,44.40%,30,37,17.20%,12,20,66.40%,6,14,65.90%,0,0,70.50%,4,6
22.20%,50,54,74.30%,40,41,96.40%,59,70,40.20%,6,14,17.10%,0,1,22.60%,2,3
43.10%,50,57,3.60%,10,24,93.50%,59,66,2.40%,0,4,3.00%,0,0,4.20%,0,0
67.40%,70,89,74.40%,40,47,74.90%,35,39,6.50%,0,8,31.90%,0,0,41.50%,2,3
27.50%,50,61,31.80%,20,28,40.30%,23,33,16.30%,0,0,55.40%,0,0,40.40%,2,4
52.40%,50,64,81.10%,40,45,36.10%,23,32,9.10%,0,0,53.30%,0,2,69.10%,4,5
37.20%,50,56,90.40%,50,51,85.00%,47,49,7.80%,0,0,15.20%,0,0,97.90%,6,7
36.60%,50,65,50.40%,30,37,84.60%,47,56,93.10%,18,19,5.20%,0,0,67.40%,4,6
42.50%,50,67,88.90%,50,62,99.80%,95,98,4.70%,0,8,88.60%,4,7,37.00%,2,3
31.30%,50,61,24.80%,20,32,33.60%,23,28,27.30%,6,14,88.50%,4,6,80.40%,4,5
44.70%,50,69,90.90%,50,51,20.30%,23,26,90.80%,18,19,67.80%,0,4,92.10%,6,8
39.10%,50,51,27.30%,20,32,61.80%,35,43,53.20%,6,9,15.60%,0,0,0.10%,0,2
66.60%,70,76,48.10%,30,40,5.20%,12,15,38.40%,6,9,17.00%,0,3,77.00%,4,6
78.30%,90,99,62.00%,30,44,51.80%,35,45,53.30%,6,8,84.20%,4,8,80.70%,4,6
73.60%,70,81,83.60%,40,43,63.00%,35,36,63.50%,6,14,65.10%,0,1,69.00%,4,5
87.60%,90,100,60.50%,30,44,41.00%,23,28,41.20%,6,10,16.50%,0,4,75.50%,4,5
1.80%,10,24,37.60%,20,23,23.00%,23,24,61.00%,6,12,44.70%,0,2,18.50%,2,4
35.40%,50,53,72.30%,40,47,5.00%,12,15,89.90%,12,17,31.20%,0,2,66.60%,4,6
87.00%,90,105,57.30%,30,39,80.50%,47,53,63.80%,6,14,18.20%,0,0,34.40%,2,3
78.80%,90,93,55.40%,30,37,84.30%,47,52,99.90%,48,54,41.20%,0,3,95.80%,6,7
97.60%,130,140,41.50%,30,39,71.90%,35,44,80.80%,12,17,51.80%,0,3,67.90%,4,6
39.00%,50,68,79.00%,40,44,95.00%,59,69,82.00%,12,18,11.10%,0,1,17.40%,2,3
2.70%,10,11,95.50%,60,68,84.00%,47,54,68.30%,6,11,86.80%,4,8,84.80%,4,5
63.20%,70,75,96.20%,60,63,26.70%,23,33,92.90%,18,21,11.80%,0,0,27.70%,2,3
99.70%,150,156,95.90%,60,71,83.50%,47,51,51.00%,6,7,25.30%,0,0,79.90%,4,5
11.80%,30,34,3.30%,10,11,40.30%,23,34,76.90%,12,13,69.70%,0,2,27.90%,2,3
8.70%,30,34,28.20%,20,24,27.30%,23,34,48.30%,6,12,40.10%,0,3,31.40%,2,3
55.90%,70,90,38.90%,20,30,63.10%,35,40,13.00%,0,6,33.10%,0,3,91.10%,6,7
25.60%,50,61,20.10%,20,33,45.40%,23,31,58.80%,6,9,7.80%,0,4,24.90%,2,4
58.20%,70,86,50.60%,30,41,30.90%,23,28,17.30%,0,2,8.40%,0,4,83.40%,4,6
22.50%,50,59,24.30%,20,31,36.40%,23,25,72.50%,12,14,5.80%,0,0,23.60%,2,4
75.60%,70,82,7.30%,10,13,91.70%,59,64,85.00%,12,19,0.40%,0,4,72.70%,4,6
73.40%,70,89,92.20%,50,53,99.90%,107,108,15.90%,0,6,10.30%,0,4,45.70%,2,4
8.10%,30,47,48.70%,30,39,46.00%,23,28,60.50%,6,10,59.40%,0,1,22.60%,2,3
70.10%,70,81,45.80%,30,32,9.30%,12,18,82.40%,12,20,66.50%,0,2,3.00%,0,1
90.50%,110,125,55.20%,30,43,27.10%,23,29,61.60%,6,14,40.20%,0,0,23.90%,2,4
11.90%,30,33,90.70%,50,64,85.10%,47,53,75.10%,12,17,17.90%,0,1,85.70%,4,5
4.60%,10,20,18.30%,20,28,71.60%,35,45,69.00%,6,13,43.20%,0,4,78.80%,4,5
17.20%,30,35,90.30%,50,60,8.10%,12,14,44.20%,6,8,62.60%,0,0,72.40%,4,6
69.50%,70,80,67.70%,40,46,7.10%,12,17,63.50%,6,10,15.40%,0,2,98.90%,8,9
93.20%,110,114,44.80%,30,36,71.50%,35,36,36.10%,6,7,53.40%,0,1,33.40%,2,4
44.70%,50,67,34.50%,20,34,17.40%,12,15,98.60%,24,27,31.00%,0,0,65.40%,4,5
39.40%,50,65,98.60%,70,77,37.60%,23,26,1.40%,0,7,63.90%,0,1,56.10%,4,5
86.70%,90,107,58.10%,30,44,65.60%,35,39,44.30%,6,12,68.80%,0,3,67.50%,4,5
72.40%,70,82,47.90%,30,34,60.30%,35,39,50.20%,6,13,53.20%,0,4,85.70%,4,5
90.50%,110,112,50.20%,30,43,83.40%,47,56,14.60%,0,0,20.40%,0,0,82.10%,4,6
80.80%,90,105,19.40%,20,33,93.00%,59,65,40.30%,6,10,70.10%,0,4,86.30%,4,6
3.50%,10,19,77.30%,40,43,15.90%,12,22,71.70%,12,14,48.20%,0,3,98.40%,8,10
23.70%,50,53,19.30%,20,23,86.90%,47,55,68.60%,6,10,56.00%,0,2,3.00%,0,0
39.60%,50,56,93.20%,50,57,46.60%,23,24,8.90%,0,2,10.30%,0,3,43.50%,2,3
12.50%,30,36,79.50%,40,48,39.00%,23,27,9.70%,0,7,15.20%,0,1,51.40%,2,3
56.80%,70,74,96.60%,60,61,93.60%,59,67,4.50%,0,5,57.80%,0,2,34.00%,2,3
87.80%,90,109,20.20%,20,24,93.60%,59,65,37.50%,6,7,96.70%,8,12,0.70%,0,2
5.40%,30,41,14.20%,10,13,50.50%,23,24,46.50%,6,10,7.00%,0,2,0.40%,0,2
69.90%,70,83,24.50%,20,26,75.70%,35,39,24.10%,6,11,54.00%,0,2,4.30%,0,0
15.20%,30,47,42.10%,30,34,31.80%,23,34,9.60%,0,8,3.50%,0,1,1.00%,0,2
97.30%,130,145,61.40%,30,42,12.90%,12,13,85.90%,12,14,49.70%,0,3,86.10%,4,6
88.50%,90,110,59.20%,30,41,48.80%,23,30,71.10%,12,18,26.30%,0,0,6.30%,0,1
15.30%,30,32,66.20%,30,44,34.50%,23,24,19.60%,0,3,26.50%,0,4,38.10%,2,3
26.90%,50,57,54.90%,30,38,7.70%,12,16,6.20%,0,2,58.30%,0,3,82.50%,4,5
81.90%,90,107,70.00%,40,46,36.70%,23,31,10.00%,0,8,69.80%,0,4,36.10%,2,3
33.90%,50,57,61.90%,30,40,27.30%,23,29,12.80%,0,3,56.90%,0,0,5.20%,0,0
49.20%,50,51,88.40%,50,64,44.40%,23,26,26.00%,6,7,12.80%,0,0,2.20%,0,2
70.90%,70,72,28.30%,20,26,77.40%,35,46,50.00%,6,9,52.60%,0,4,51.90%,2,3
67.30%,70,79,20.90%,20,28,24.10%,23,31,15.10%,0,8,29.70%,0,0,83.00%,4,5
62.40%,70,75,6.60%,10,13,55.10%,35,39,94.90%,18,21,41.00%,0,2,57.10%,4,5
63.60%,70,90,41.30%,30,39,5.60%,12,18,62.40%,6,9,6.20%,0,2,51.40%,2,4
39.80%,50,70,25.70%,20,30,35.60%,23,29,65.80%,6,10,10.70%,0,0,14.70%,2,3
49.10%,50,59,74.50%,40,42,46.90%,23,25,33.50%,6,10,66.90%,0,0,59.50%,4,5
27.70%,50,52,88.20%,50,63,38.90%,23,28,6.90%,0,7,85.40%,4,6,93.90%,6,7
16.40%,30,47,82.40%,40,53,7.60%,12,23,64.80%,6,9,61.30%,0,1,88.60%,6,8
31.60%,50,57,13.00%,10,16,77.70%,35,45,17.90%,0,2,88.20%,4,6,27.70%,2,4
36.90%,50,70,3.30%,10,24,50.00%,23,24,3.80%,0,1,11.10%,0,2,40.80%,2,3
4.40%,10,12,4.80%,10,14,43.30%,23,28,24.90%,6,8,60.80%,0,0,0.40%,0,0
82.00%,90,106,97.70%,60,67,35.80%,23,24,6.10%,0,8,94.10%,4,7,90.20%,6,7
96.20%,110,120,51.10%,30,38,8.80%,12,19,64.40%,6,11,35.70%,0,3,69.40%,4,6
39.30%,50,62,38.80%,20,21,58.50%,35,41,61.80%,6,11,80.20%,4,5,7.90%,0,1
31.10%,50,55,58.70%,30,35,16.20%,12,19,83.10%,12,15,64.00%,0,0,42.70%,2,4
21.70%,30,38,76.90%,40,47,13.50%,12,22,74.60%,12,19,44.10%,0,2,76.60%,4,5
87.20%,90,106,79.30%,40,51,50.30%,23,32,72.00%,12,20,10.50%,0,3,17.50%,2,3
81.90%,90,95,11.60%,10,12,50.40%,23,26,61.10%,6,9,99.40%,12,13,49.70%,2,3
39.30%,50,52,96.30%,60,67,3.90%,12,13,69.10%,6,7,14.50%,0,2,25.00%,2,3
6.90%,30,38,98.70%,70,83,40.60%,23,34,34.40%,6,10,38.50%,0,1,22.50%,2,4
0.80%,10,13,89.10%,50,52,11.20%,12,19,87.30%,12,13,77.80%,4,7,48.80%,2,4
29.00%,50,61,14.50%,10,22,69.10%,35,42,18.80%,0,3,21.30%,0,2,14.40%,2,3
81.40%,90,96,20.90%,20,32,74.00%,35,46,2.10%,0,5,34.20%,0,1,44.60%,2,4
16.20%,30,35,23.70%,20,27,0.00%,0,6,6.20%,0,6,33.60%,0,3,88.50%,6,8
36.40%,50,68,27.20%,20,32,57.20%,35,46,44.40%,6,7,97.20%,8,9,11.20%,2,3
10.80%,30,41,67.80%,40,50,48.80%,23,26,52.00%,6,12,96.30%,8,10,20.10%,2,4
26.00%,50,60,25.10%,20,25,64.30%,35,41,68.40%,6,7,8.10%,0,1,23.50%,2,4
23.80%,50,65,86.10%,50,60,23.60%,23,30,68.30%,6,10,49.10%,0,1,84.00%,4,6
4.30%,10,26,94.10%,50,62,82.50%,47,52,61.80%,6,7,70.80%,0,0,39.10%,2,4
38.80%,50,67,26.20%,20,27,83.90%,47,51,54.50%,6,13,72.40%,0,3,33.30%,2,4
30.90%,50,66,38.90%,20,25,67.50%,35,40,36.70%,6,13,61.30%,0,2,43.80%,2,3
96.70%,130,131,19.50%,20,31,23.30%,23,28,97.10%,24,32,49.40%,0,0,72.90%,4,6
18.90%,30,34,99.10%,70,82,10.20%,12,13,26.70%,6,14,34.70%,0,4,71.30%,4,5
33.80%,50,61,25.20%,20,26,80.00%,47,51,43.20%,6,7,84.10%,4,7,30.40%,2,4
17.30%,30,41,71.00%,40,47,17.20%,12,22,49.70%,6,13,89.50%,4,7,78.40%,4,6
13.50%,30,34,55.40%,30,43,22.60%,23,28,39.00%,6,13,73.80%,0,1,65.50%,4,6
55.80%,70,84,16.80%,20,33,79.30%,47,54,91.70%,18,19,12.80%,0,1,7.00%,0,0
75.70%,70,77,29.30%,20,26,87.70%,47,49,87.50%,12,18,21.20%,0,3,62.60%,4,5
63.80%,70,85,19.20%,20,32,86.80%,47,58,86.90%,12,15,75.80%,0,3,11.70%,2,3
29.60%,50,58,79.60%,40,42,42.50%,23,29,28.30%,6,13,62.10%,0,4,43.20%,2,3
24.80%,50,56,39.80%,20,27,46.00%,23,29,8.50%,0,7,17.10%,0,0,83.10%,4,5
31.20%,50,55,10.10%,10,22,34.60%,23,27,27.20%,6,11,58.30%,0,3,55.60%,4,5
8.90%,30,36,64.20%,30,44,27.50%,23,30,26.00%,6,7,84.90%,4,7,69.20%,4,6
9.70%,30,37,43.20%,30,38,32.00%,23,28,41.70%,6,14,76.40%,4,7,10.10%,2,3
8.00%,30,44,62.60%,30,35,24.20%,23,25,10.40%,0,2,69.40%,0,0,84.50%,4,5
9.10%,30,43,51.90%,30,32,38.60%,23,33,72.40%,12,16,64.00%,0,3,89.00%,6,7
4.70%,10,26,17.70%,20,27,73.70%,35,44,88.20%,12,13,75.60%,0,4,29.20%,2,3
72.40%,70,88,80.20%,40,42,58.60%,35,36,15.20%,0,0,69.70%,0,0,67.20%,4,6
37.20%,50,51,41.00%,30,31,10.90%,12,17,6.90%,0,5,39.00%,0,2,6.80%,0,0
44.20%,50,54,56.70%,30,39,7.40%,12,22,74.10%,12,16,1.50%,0,4,16.40%,2,4
87.50%,90,96,88.40%,50,52,12.20%,12,19,36.30%,6,12,90.80%,4,8,76.70%,4,6
91.20%,110,113,94.80%,60,72,15.30%,12,20,27.90%,6,14,14.60%,0,4,60.70%,4,6
42.50%,50,62,63.70%,30,33,94.10%,59,60,0.50%,0,4,44.50%,0,0,74.60%,4,6
11.30%,30,49,93.70%,50,63,3.20%,12,18,55.10%,6,14,81.20%,4,7,7.00%,0,1
41.30%,50,70,44.40%,30,42,72.30%,35,37,12.40%,0,3,85.10%,4,8,64.40%,4,5
24.80%,50,54,50.60%,30,37,35.00%,23,31,97.20%,24,29,59.10%,0,1,66.30%,4,5
85.90%,90,102,39.70%,20,22,23.00%,23,28,43.50%,6,8,35.70%,0,3,78.40%,4,6
29.00%,50,60,20.80%,20,24,79.40%,47,54,86.50%,12,20,19.40%,0,1,12.10%,2,4
14.20%,30,44,97.50%,60,62,18.60%,23,31,40.60%,6,12,30.60%,0,1,90.20%,6,8
60.00%,70,74,6.70%,10,17,46.20%,23,25,17.90%,0,6,45.30%,0,4,29.70%,2,4
2.30%,10,16,54.40%,30,42,26.60%,23,33,50.80%,6,10,85.90%,4,5,40.40%,2,4
18.40%,30,46,84.00%,40,43,75.50%,35,46,3.50%,0,5,18.80%,0,2,86.60%,4,6
7.50%,30,48,6.20%,10,18,44.80%,23,26,92.30%,18,20,93.50%,4,5,65.40%,4,6
78.10%,90,92,21.20%,20,29,49.30%,23,32,23.40%,0,6,91.20%,4,8,3.90%,0,1
14.90%,30,41,70.70%,40,46,0.50%,0,9,56.20%,6,13,50.90%,0,3,30.80%,2,3
46.00%,50,54,88.40%,50,51,92.00%,59,61,59.30%,6,11,81.30%,4,6,23.00%,2,4
2.00%,10,18,0.80%,0,5,45.20%,23,25,11.50%,0,7,12.30%,0,1,44.00%,2,4
81.70%,90,107,63.80%,30,32,39.20%,23,29,39.50%,6,9,4.20%,0,3,84.40%,4,5
51.80%,50,64,55.60%,30,44,51.10%,35,37,48.60%,6,11,15.20%,0,4,58.70%,4,6
95.10%,110,117,23.50%,20,24,51.30%,35,38,26.40%,6,10,31.30%,0,1,89.60%,6,8
1.20%,10,24,54.80%,30,36,16.80%,12,20,21.00%,0,1,20.70%,0,3,5.90%,0,2
45.10%,50,59,59.60%,30,31,50.90%,35,44,53.60%,6,9,71.30%,0,2,72.40%,4,5
94.00%,110,119,93.10%,50,51,74.30%,35,40,53.50%,6,10,34.40%,0,0,34.20%,2,4
75.70%,70,76,13.40%,10,22,94.10%,59,61,68.00%,6,7,35.40%,0,1,97.40%,6,8
71.80%,70,89,96.30%,60,70,80.00%,47,53,87.80%,12,18,45.30%,0,0,39.90%,2,4
85.90%,90,94,13.50%,10,24,60.30%,35,39,25.30%,6,11,40.10%,0,0,66.00%,4,6
2.10%,10,12,5.10%,10,21,67.80%,35,36,31.10%,6,13,100.00%,20,23,51.60%,2,3
7.70%,30,48,61.00%,30,44,49.90%,23,34,19.00%,0,3,67.90%,0,1,61.30%,4,6
32.00%,50,61,29.00%,20,29,32.50%,23,24,7.70%,0,2,82.40%,4,7,51.60%,2,3
89.10%,90,96,51.40%,30,38,26.70%,23,30,15.60%,0,6,94.70%,4,6,6.20%,0,2
25.20%,50,60,38.80%,20,34,24.70%,23,30,48.10%,6,11,97.90%,8,12,76.70%,4,5
82.70%,90,109,51.00%,30,35,69.20%,35,40,36.30%,6,14,93.70%,4,5,60.10%,4,5
97.90%,130,146,52.20%,30,39,51.30%,35,39,81.30%,12,17,1.70%,0,0,29.60%,2,4
55.30%,70,85,48.40%,30,37,28.10%,23,27,25.20%,6,13,99.00%,8,12,89.00%,6,7
70.50%,70,79,93.50%,50,57,32.90%,23,30,40.40%,6,10,6.90%,0,2,28.00%,2,3
39.60%,50,59,78.50%,40,53,4.00%,12,20,97.80%,24,28,8.70%,0,1,46.60%,2,4
22.10%,50,55,10.00%,10,12,32.00%,23,28,90.30%,12,18,50.30%,0,4,37.10%,2,3
84.60%,90,104,7.10%,10,24,98.10%,71,73,92.40%,18,26,77.90%,4,7,83.10%,4,5
26.20%,50,57,56.80%,30,44,8.50%,12,17,27.40%,6,11,82.80%,4,8,32.10%,2,3
70.40%,70,77,71.60%,40,45,73.50%,35,46,60.30%,6,12,2.10%,0,1,5.30%,0,2
76.20%,70,74,69.60%,40,51,15.80%,12,20,53.50%,6,13,33.30%,0,0,65.30%,4,5
51.40%,50,64,89.40%,50,58,45.20%,23,29,14.40%,0,3,87.10%,4,6,86.90%,4,5
61.20%,70,74,89.10%,50,52,26.20%,23,26,56.00%,6,11,4.60%,0,0,96.60%,6,7
2.80%,10,23,87.80%,50,62,60.80%,35,36,11.70%,0,7,83.30%,4,6,6.80%,0,2
7.70%,30,49,28.40%,20,32,85.90%,47,49,35.30%,6,14,32.40%,0,3,70.50%,4,6
76.90%,70,80,2.20%,10,12,1.40%,0,8,28.80%,6,14,15.40%,0,2,89.50%,6,7
90.20%,110,118,47.00%,30,39,68.10%,35,43,47.60%,6,14,19.80%,0,2,88.90%,6,7
96.80%,130,141,69.60%,40,41,42.10%,23,25,86.00%,12,18,45.80%,0,3,62.20%,4,5
76.80%,70,85,75.90%,40,46,28.30%,23,25,2.20%,0,2,76.00%,4,6,43.80%,2,3
52.70%,50,52,89.80%,50,58,21.20%,23,31,5.40%,0,3,62.40%,0,3,1.00%,0,0
88.30%,90,104,63.60%,30,41,4.70%,12,16,2.30%,0,8,4.90%,0,3,33.60%,2,4
30.50%,50,55,61.80%,30,43,63.60%,35,41,44.60%,6,7,26.60%,0,3,36.80%,2,4
13.20%,30,32,89.50%,50,60,44.40%,23,25,78.20%,12,14,19.00%,0,4,5.90%,0,0
25.20%,50,69,81.00%,40,53,26.70%,23,34,81.70%,12,20,23.90%,0,3,61.00%,4,5
54.60%,50,58,10.50%,10,20,36.70%,23,25,59.60%,6,11,81.30%,4,8,35.20%,2,3
43.70%,50,53,5.90%,10,11,45.10%,23,28,69.00%,6,10,52.30%,0,4,45.10%,2,3
63.70%,70,82,29.90%,20,33,67.70%,35,36,24.50%,6,14,4.00%,0,1,99.00%,8,9
7.30%,30,33,4.10%,10,20,76.60%,35,41,95.30%,18,20,28.40%,0,4,30.00%,2,3
77.90%,70,82,51.50%,30,38,71.40%,35,39,53.00%,6,14,58.80%,0,2,17.60%,2,4
