Percentages,Lower Bond,pm25,Percentages,Lower Bond,pm10,Percentages,Lower Bond,o3,Percentages,Lower Bond,no2,Percentages,Lower Bond,so2,Percentages,Lower Bond,co
45.80%,60,76,27.50%,22,36,79.00%,42,43,84.90%,12,19,75.60%,4,5,59.00%,4,6
71.50%,80,93,92.60%,55,61,93.40%,56,59,100.00%,54,57,12.80%,0,2,3.40%,0,0
62.60%,80,83,39.30%,22,31,48.50%,28,38,38.60%,6,8,68.50%,4,5,65.20%,4,5
3.60%,20,38,72.50%,44,58,18.40%,14,19,21.10%,0,1,13.40%,0,3,31.50%,2,4
92.80%,120,122,74.00%,44,54,67.80%,42,51,59.60%,6,7,65.80%,4,6,14.00%,2,4
57.10%,80,93,37.80%,22,27,57.10%,28,33,56.20%,6,12,71.90%,4,8,58.70%,4,6
67.00%,80,83,58.70%,33,41,32.40%,28,32,14.90%,0,1,6.30%,0,0,14.80%,2,4
78.10%,80,81,39.10%,22,36,76.40%,42,44,68.90%,12,19,43.30%,0,3,76.60%,4,6
67.20%,80,97,86.90%,44,56,40.50%,28,36,12.10%,0,1,37.90%,0,0,91.90%,6,8
21.40%,40,52,68.10%,33,40,63.30%,42,51,51.70%,6,8,26.30%,0,3,48.20%,4,6
32.90%,60,69,22.80%,22,31,10.60%,14,17,90.50%,18,21,55.60%,0,3,4.90%,0,2
85.00%,100,109,98.00%,66,79,44.10%,28,31,85.10%,12,14,85.00%,4,5,98.40%,8,10
22.40%,40,41,70.40%,33,34,61.00%,28,32,90.40%,18,23,89.10%,8,12,45.10%,2,4
49.40%,60,77,17.30%,11,23,64.80%,42,53,81.50%,12,15,24.20%,0,0,73.10%,4,6
69.30%,80,88,45.50%,33,45,61.90%,42,52,81.50%,12,16,93.60%,8,9,29.60%,2,3
63.90%,80,81,48.60%,33,44,55.90%,28,30,14.60%,0,4,37.40%,0,0,96.50%,6,8
62.90%,80,92,87.20%,44,50,76.40%,42,43,40.10%,6,10,83.90%,4,8,40.30%,2,3
55.20%,60,62,70.60%,33,38,9.60%,14,20,12.20%,0,4,6.40%,0,2,94.90%,6,7
91.70%,120,135,65.60%,33,41,71.40%,42,50,64.00%,6,10,55.50%,0,1,73.40%,4,6
16.10%,40,44,35.40%,22,28,43.00%,28,36,16.20%,0,7,11.70%,0,1,97.30%,8,9
2.40%,20,40,78.30%,44,47,9.90%,14,24,1.10%,0,3,18.70%,0,3,68.10%,4,6
97.40%,140,150,70.10%,33,34,33.80%,28,36,19.00%,0,3,63.30%,0,4,22.70%,2,4
39.40%,60,71,98.30%,66,77,35.00%,28,33,22.00%,0,5,98.60%,16,18,65.80%,4,6
17.50%,40,52,85.80%,44,53,37.90%,28,35,68.00%,6,11,21.30%,0,3,74.70%,4,5
38.20%,60,78,14.00%,11,25,51.20%,28,30,13.20%,0,8,28.00%,0,1,74.60%,4,5
7.80%,20,27,87.40%,44,52,9.80%,14,23,66.80%,6,12,65.00%,4,5,58.20%,4,5
22.60%,40,50,41.70%,22,31,3.10%,14,18,55.60%,6,14,27.90%,0,0,10.60%,2,3
66.90%,80,94,26.30%,22,32,89.70%,56,67,23.70%,0,7,3.60%,0,0,10.70%,2,4
36.20%,60,71,25.00%,22,35,79.00%,42,53,44.60%,6,14,38.70%,0,0,90.80%,6,7
55.80%,60,77,84.30%,44,45,41.00%,28,37,95.20%,18,19,1.70%,0,4,68.50%,4,6
61.60%,80,85,70.10%,33,46,17.40%,14,25,28.20%,6,10,94.70%,8,11,20.30%,2,3
62.80%,80,89,12.90%,11,20,45.40%,28,38,8.10%,0,2,13.00%,0,2,36.60%,2,3
21.30%,40,47,91.50%,55,65,36.00%,28,38,76.10%,12,16,31.60%,0,4,76.00%,4,5
4.50%,20,21,97.40%,66,80,97.90%,70,77,55.80%,6,12,51.00%,0,0,61.50%,4,6
20.10%,40,55,5.60%,11,23,88.30%,56,59,47.40%,6,8,27.40%,0,4,99.20%,10,11
49.80%,60,78,9.60%,11,17,29.10%,28,38,0.40%,0,6,60.00%,0,2,31.10%,2,4
82.60%,100,101,75.00%,44,58,95.90%,56,63,23.30%,0,3,46.50%,0,1,4.40%,0,1
17.00%,40,50,98.40%,66,70,61.20%,28,35,98.10%,24,27,8.20%,0,0,34.20%,2,3
61.50%,80,97,42.20%,22,23,24.20%,28,30,79.70%,12,20,93.70%,8,9,61.50%,4,6
36.60%,60,71,10.30%,11,23,27.50%,28,39,12.50%,0,8,16.20%,0,2,46.20%,2,3
53.70%,60,68,61.20%,33,38,5.30%,14,18,55.60%,6,14,76.60%,4,6,19.90%,2,4
6.50%,20,26,1.30%,0,4,55.40%,28,30,99.30%,30,33,6.20%,0,1,72.20%,4,5
50.10%,60,78,2.40%,11,17,77.90%,42,47,74.60%,12,18,92.80%,8,10,43.10%,2,4
46.60%,60,70,3.30%,11,23,75.20%,42,44,34.70%,6,12,48.30%,0,2,68.80%,4,5
6.00%,20,24,44.70%,33,38,59.70%,28,37,73.90%,12,19,34.00%,0,4,55.40%,4,5
32.80%,60,77,11.30%,11,22,22.20%,28,32,85.90%,12,17,76.20%,4,7,80.80%,4,6
6.20%,20,29,53.90%,33,34,90.90%,56,60,30.50%,6,8,73.40%,4,8,59.10%,4,5
24.40%,40,54,43.50%,33,39,16.80%,14,21,85.70%,12,20,88.90%,8,11,26.50%,2,3
95.20%,120,138,27.00%,22,33,71.50%,42,48,45.60%,6,7,31.80%,0,3,62.60%,4,6
94.20%,120,135,33.70%,22,25,15.10%,14,21,1.30%,0,7,92.70%,8,9,45.90%,2,4
72.20%,80,96,73.00%,44,45,30.50%,28,31,68.90%,12,20,31.70%,0,4,92.10%,6,8
90.50%,120,125,7.10%,11,23,11.40%,14,16,73.80%,12,20,9.50%,0,4,94.10%,6,8
35.20%,60,80,20.60%,22,33,20.80%,28,37,51.90%,6,9,20.60%,0,3,27.70%,2,4
71.50%,80,86,94.80%,55,58,67.50%,42,47,30.20%,6,8,84.70%,4,5,28.20%,2,3
85.80%,100,117,42.60%,22,32,87.40%,56,61,98.30%,24,26,91.00%,8,12,46.50%,2,4
3.30%,20,40,78.50%,44,54,36.50%,28,34,50.70%,6,8,8.60%,0,0,58.30%,4,5
36.80%,60,64,44.80%,33,40,34.30%,28,36,95.90%,18,23,38.30%,0,4,53.70%,4,5
41.30%,60,80,53.30%,33,35,20.70%,28,34,4.50%,0,7,87.80%,4,6,15.30%,2,3
69.80%,80,96,93.80%,55,67,64.10%,42,53,35.40%,6,11,86.70%,4,5,88.80%,6,7
63.80%,80,87,33.20%,22,24,44.60%,28,30,13.60%,0,6,87.80%,4,6,56.50%,4,6
33.10%,60,65,76.20%,44,49,26.50%,28,34,32.80%,6,13,79.40%,4,6,73.50%,4,5
81.80%,100,109,20.10%,22,31,81.40%,42,44,79.40%,12,17,57.50%,0,4,77.00%,4,5
34.40%,60,79,50.20%,33,35,24.10%,28,38,26.40%,0,6,78.20%,4,8,4.60%,0,0
68.50%,80,88,61.30%,33,36,19.60%,28,38,88.90%,12,15,49.30%,0,3,11.80%,2,3
35.30%,60,62,71.70%,44,57,50.10%,28,31,34.90%,6,13,67.70%,4,5,24.30%,2,4
66.70%,80,97,41.00%,22,33,13.00%,14,17,87.00%,12,13,65.90%,4,6,86.40%,6,8
60.70%,80,90,19.00%,22,32,83.00%,42,46,50.30%,6,7,90.70%,8,12,42.90%,2,3
2.90%,20,36,97.40%,66,68,87.20%,56,62,17.20%,0,8,11.80%,0,1,49.60%,4,6
6.10%,20,36,9.80%,11,17,45.50%,28,32,69.90%,12,15,21.70%,0,4,49.90%,4,5
55.90%,60,75,38.40%,22,26,59.60%,28,31,45.00%,6,10,52.60%,0,1,2.20%,0,0
79.60%,100,111,73.30%,44,53,20.40%,28,30,18.90%,0,7,41.80%,0,0,83.60%,4,6
42.90%,60,79,9.10%,11,20,29.30%,28,32,41.10%,6,7,5.10%,0,3,94.50%,6,7
10.60%,40,56,6.80%,11,23,48.30%,28,39,80.20%,12,14,31.80%,0,3,19.30%,2,4
64.00%,80,90,53.30%,33,47,37.20%,28,39,23.10%,0,4,9.80%,0,4,30.90%,2,4
85.20%,100,111,14.40%,11,15,62.60%,42,52,87.10%,12,17,48.40%,0,3,61.50%,4,6
20.00%,40,50,26.10%,22,31,68.70%,42,43,84.60%,12,15,78.40%,4,8,17.10%,2,4
7.70%,20,37,54.00%,33,41,14.80%,14,21,75.80%,12,15,33.70%,0,2,47.30%,2,4
12.30%,40,60,76.40%,44,57,32.10%,28,37,47.00%,6,8,38.20%,0,2,22.40%,2,4
25.30%,40,41,59.80%,33,39,33.40%,28,36,67.50%,6,11,15.10%,0,4,3.90%,0,1
96.30%,140,153,79.50%,44,49,92.30%,56,64,9.70%,0,1,25.70%,0,2,19.10%,2,4
74.40%,80,94,84.20%,44,52,49.20%,28,36,13.30%,0,0,48.30%,0,2,74.00%,4,6
47.50%,60,64,7.00%,11,13,87.60%,56,64,50.70%,6,11,21.70%,0,2,88.30%,6,7
93.90%,120,130,99.60%,77,90,3.40%,14,25,7.70%,0,7,1.90%,0,2,87.40%,6,7
81.00%,100,110,62.00%,33,47,0.60%,0,8,25.50%,0,0,11.10%,0,1,18.30%,2,4
12.90%,40,56,23.40%,22,35,73.40%,42,51,18.40%,0,7,77.30%,4,5,19.40%,2,3
40.80%,60,62,35.60%,22,32,67.40%,42,49,71.00%,12,18,37.20%,0,2,67.90%,4,5
6.40%,20,28,82.20%,44,56,70.10%,42,44,20.50%,0,1,34.20%,0,4,3.00%,0,1
23.00%,40,57,12.70%,11,17,83.90%,42,52,22.70%,0,6,50.90%,0,4,27.60%,2,4
77.30%,80,88,2.10%,11,24,61.50%,42,46,25.40%,0,2,88.80%,8,11,55.40%,4,6
64.80%,80,87,96.90%,66,77,37.50%,28,31,14.50%,0,4,27.90%,0,3,12.50%,2,3
83.30%,100,108,39.70%,22,29,87.80%,56,60,77.20%,12,17,66.40%,4,7,25.60%,2,4
2.70%,20,21,73.50%,44,51,46.90%,28,36,12.60%,0,1,98.60%,16,18,97.00%,6,8
68.80%,80,97,3.20%,11,18,74.10%,42,51,46.60%,6,8,99.40%,16,17,48.70%,4,5
80.80%,100,104,8.80%,11,18,18.60%,14,21,20.50%,0,4,47.10%,0,1,98.60%,8,9
73.10%,80,83,39.60%,22,28,28.90%,28,30,65.40%,6,7,35.40%,0,2,17.00%,2,3
55.40%,60,77,67.90%,33,37,26.90%,28,30,47.70%,6,10,56.60%,0,0,23.40%,2,4
94.20%,120,134,0.20%,0,11,63.20%,42,51,58.70%,6,8,64.60%,4,5,17.50%,2,3
62.90%,80,88,69.30%,33,34,20.90%,28,29,79.50%,12,13,96.30%,12,14,30.60%,2,4
50.50%,60,64,53.30%,33,35,99.20%,84,93,87.10%,12,15,44.50%,0,3,61.10%,4,6
56.80%,80,82,1.90%,0,3,74.00%,42,50,10.80%,0,5,33.50%,0,2,23.50%,2,4
48.60%,60,79,97.40%,66,79,90.60%,56,57,87.30%,12,16,13.80%,0,3,7.90%,0,1
24.60%,40,51,50.50%,33,47,90.40%,56,59,71.80%,12,13,65.60%,4,6,48.10%,4,6
89.50%,100,114,67.90%,33,47,44.20%,28,33,20.20%,0,7,96.10%,12,15,15.90%,2,4
11.30%,40,56,94.40%,55,62,93.30%,56,64,70.70%,12,16,51.10%,0,0,96.20%,6,8
86.00%,100,116,16.10%,11,12,93.60%,56,57,0.80%,0,2,28.70%,0,1,40.80%,2,4
10.70%,40,56,5.20%,11,23,61.10%,28,35,33.40%,6,13,10.10%,0,3,96.80%,6,7
64.00%,80,83,25.00%,22,31,90.60%,56,66,97.20%,24,31,56.20%,0,3,95.00%,6,8
93.20%,120,128,0.60%,0,6,81.00%,42,43,13.10%,0,4,5.90%,0,0,4.50%,0,0
63.50%,80,88,85.50%,44,55,58.40%,28,36,80.20%,12,17,48.20%,0,0,2.80%,0,2
68.50%,80,90,64.10%,33,43,33.10%,28,30,60.80%,6,12,81.20%,4,5,92.90%,6,8
58.70%,80,95,61.30%,33,34,29.10%,28,34,59.40%,6,12,67.10%,4,5,30.30%,2,4
2.80%,20,32,9.10%,11,21,19.50%,28,38,75.30%,12,17,83.30%,4,8,45.40%,2,3
5.40%,20,40,85.30%,44,46,11.20%,14,15,7.90%,0,0,95.70%,12,16,54.00%,4,5
11.90%,40,43,85.50%,44,46,64.50%,42,48,23.60%,0,3,69.60%,4,8,57.60%,4,6
74.90%,80,82,43.00%,22,32,9.20%,14,23,30.90%,6,13,41.40%,0,3,54.90%,4,5
20.80%,40,48,49.30%,33,46,36.60%,28,31,29.70%,6,7,24.40%,0,2,77.70%,4,6
10.10%,40,46,59.80%,33,44,18.70%,14,16,40.90%,6,14,70.30%,4,6,3.50%,0,1
50.90%,60,76,95.60%,66,69,98.70%,70,76,60.50%,6,9,6.60%,0,3,72.60%,4,6
5.70%,20,35,32.90%,22,35,41.60%,28,31,18.40%,0,8,67.50%,4,8,39.20%,2,3
55.40%,60,71,74.60%,44,49,76.50%,42,45,86.20%,12,18,52.40%,0,4,33.30%,2,4
38.00%,60,76,64.90%,33,45,95.60%,56,65,60.60%,6,10,9.90%,0,3,60.80%,4,6
63.30%,80,99,39.00%,22,36,25.90%,28,31,95.60%,18,19,10.90%,0,0,65.70%,4,6
12.70%,40,45,97.70%,66,80,14.10%,14,20,83.20%,12,15,21.60%,0,0,56.60%,4,5
9.60%,40,42,49.00%,33,37,71.30%,42,45,7.80%,0,5,66.60%,4,6,37.40%,2,4
57.60%,80,90,39.80%,22,25,54.00%,28,39,67.90%,6,14,36.20%,0,0,3.30%,0,1
51.80%,60,68,44.50%,33,35,11.40%,14,25,30.00%,6,14,66.40%,4,5,12.10%,2,3
80.30%,100,118,70.40%,33,43,18.50%,14,19,51.50%,6,13,40.70%,0,3,6.50%,0,1
13.70%,40,55,94.60%,55,58,54.00%,28,34,64.90%,6,10,30.00%,0,1,25.90%,2,4
91.70%,120,128,94.50%,55,62,95.20%,56,63,83.00%,12,18,15.40%,0,4,18.40%,2,4
41.60%,60,77,1.50%,0,1,11.70%,14,25,28.20%,6,12,67.30%,4,5,3.80%,0,2
41.00%,60,67,10.80%,11,15,45.20%,28,33,26.40%,0,8,30.10%,0,2,20.20%,2,3
0.40%,0,1,31.30%,22,28,1.20%,14,21,81.90%,12,20,82.90%,4,6,60.10%,4,5
2.60%,20,27,87.30%,44,52,31.30%,28,38,34.90%,6,8,25.80%,0,3,60.20%,4,6
43.10%,60,64,31.00%,22,32,37.40%,28,31,41.50%,6,12,65.00%,4,6,20.30%,2,4
63.50%,80,87,61.30%,33,38,51.50%,28,36,38.00%,6,13,92.60%,8,10,84.60%,4,5
34.10%,60,66,74.60%,44,47,49.20%,28,38,70.80%,12,16,34.60%,0,0,0.40%,0,1
80.50%,100,111,26.70%,22,32,52.50%,28,31,75.60%,12,13,4.30%,0,3,40.20%,2,4
24.10%,40,51,32.40%,22,24,16.80%,14,24,86.00%,12,16,11.20%,0,2,8.60%,0,2
67.80%,80,100,86.30%,44,52,29.80%,28,35,23.90%,0,5,45.60%,0,0,70.80%,4,5
35.70%,60,63,35.90%,22,35,85.00%,42,53,79.10%,12,20,6.60%,0,0,22.90%,2,4
46.10%,60,65,67.50%,33,38,96.20%,70,81,35.30%,6,7,56.10%,0,1,9.20%,0,1
12.60%,40,59,82.30%,44,48,58.70%,28,31,17.30%,0,8,97.00%,12,13,66.60%,4,5
88.50%,100,113,95.80%,66,77,0.80%,0,8,61.70%,6,10,59.80%,0,0,24.30%,2,3
88.80%,100,110,12.70%,11,15,72.00%,42,44,24.30%,0,3,19.20%,0,4,30.00%,2,3
64.40%,80,96,88.30%,55,67,57.60%,28,30,42.70%,6,13,49.70%,0,1,19.50%,2,4
75.80%,80,100,66.50%,33,34,13.70%,14,19,29.60%,6,13,51.30%,0,1,5.60%,0,1
34.90%,60,66,94.90%,55,59,36.00%,28,31,85.80%,12,19,88.30%,4,6,75.30%,4,6
49.90%,60,72,39.50%,22,31,36.50%,28,32,31.50%,6,9,42.60%,0,4,35.10%,2,3
69.30%,80,90,30.90%,22,31,81.40%,42,45,68.30%,6,8,89.50%,8,11,54.20%,4,5
3.70%,20,37,24.90%,22,34,84.00%,42,47,32.90%,6,8,77.80%,4,5,59.20%,4,5
9.60%,40,44,72.00%,44,49,71.40%,42,46,7.70%,0,1,80.40%,4,8,59.30%,4,6
32.70%,60,72,18.70%,22,35,4.00%,14,16,36.50%,6,13,61.90%,0,2,73.50%,4,5
37.50%,60,70,55.50%,33,35,9.80%,14,24,16.80%,0,6,49.10%,0,4,97.50%,8,9
59.10%,80,98,1.50%,0,7,38.90%,28,33,57.40%,6,7,74.10%,4,8,94.30%,6,8
31.80%,60,72,39.00%,22,33,6.00%,14,20,25.80%,0,3,64.20%,4,8,95.50%,6,7
82.30%,100,119,43.70%,33,47,46.90%,28,32,70.30%,12,20,36.60%,0,1,26.60%,2,4
14.10%,40,60,11.00%,11,25,22.20%,28,29,83.20%,12,20,77.10%,4,7,73.00%,4,5
40.30%,60,64,98.00%,66,73,51.80%,28,30,68.40%,6,8,2.60%,0,0,77.60%,4,6
79.60%,100,117,59.40%,33,40,94.90%,56,66,52.00%,6,11,64.10%,0,1,53.80%,4,5
8.30%,20,28,77.40%,44,50,76.30%,42,45,92.50%,18,20,71.10%,4,6,29.00%,2,4
82.60%,100,114,55.50%,33,40,90.80%,56,60,9.00%,0,2,33.90%,0,0,21.30%,2,4
47.60%,60,70,45.10%,33,46,84.10%,42,46,68.60%,6,12,53.10%,0,4,46.00%,2,3
7.60%,20,21,59.70%,33,42,32.00%,28,30,7.40%,0,0,66.70%,4,7,60.70%,4,6
98.30%,140,158,50.70%,33,45,88.30%,56,63,0.50%,0,6,51.10%,0,3,62.20%,4,5
95.70%,120,121,60.90%,33,36,94.10%,56,64,24.50%,0,6,3.20%,0,3,97.30%,8,10
31.30%,60,62,22.50%,22,33,9.30%,14,22,14.90%,0,0,65.80%,4,7,32.70%,2,4
20.00%,40,58,98.00%,66,77,94.40%,56,61,38.90%,6,7,84.20%,4,7,30.90%,2,4
88.70%,100,109,2.10%,11,19,50.70%,28,39,0.00%,0,3,43.30%,0,0,33.20%,2,4
29.10%,40,60,25.50%,22,34,76.70%,42,45,38.40%,6,7,22.70%,0,0,66.70%,4,5
51.50%,60,72,73.80%,44,54,87.90%,56,57,70.10%,12,16,66.80%,4,6,2.00%,0,2
77.30%,80,88,78.40%,44,55,57.50%,28,38,83.70%,12,15,70.90%,4,6,86.80%,6,8
35.30%,60,63,86.90%,44,50,2.40%,14,24,84.90%,12,13,96.90%,12,15,76.20%,4,6
98.80%,140,147,77.00%,44,54,13.70%,14,18,40.80%,6,14,23.00%,0,4,50.90%,4,5
74.40%,80,89,93.00%,55,60,71.50%,42,51,67.30%,6,11,95.50%,8,11,56.30%,4,6
94.70%,120,125,36.50%,22,26,25.20%,28,30,69.50%,12,15,38.50%,0,2,22.00%,2,3
83.60%,100,116,47.70%,33,39,20.30%,28,37,44.80%,6,13,37.90%,0,4,10.90%,2,3
84.60%,100,107,92.80%,55,67,45.30%,28,30,19.70%,0,0,20.80%,0,4,19.10%,2,3
85.00%,100,103,77.20%,44,47,46.10%,28,35,69.10%,12,20,96.90%,12,14,85.40%,6,8
45.80%,60,63,89.60%,55,67,13.80%,14,18,70.10%,12,20,79.20%,4,5,97.30%,8,10
8.10%,20,24,52.80%,33,41,97.20%,70,76,84.20%,12,15,95.70%,12,14,46.10%,2,3
40.70%,60,71,80.10%,44,54,70.40%,42,44,51.00%,6,10,7.60%,0,4,56.30%,4,6
1.50%,20,29,75.40%,44,56,93.40%,56,60,59.20%,6,14,87.60%,4,6,44.60%,2,4
20.40%,40,50,39.90%,22,32,16.00%,14,21,47.90%,6,7,51.50%,0,0,4.10%,0,0
60.90%,80,99,75.00%,44,49,66.10%,42,53,11.10%,0,0,53.70%,0,3,9.10%,0,2
28.10%,40,58,57.60%,33,39,53.30%,28,29,11.70%,0,6,97.10%,12,15,39.70%,2,4
33.30%,60,76,90.00%,55,58,85.80%,42,43,21.90%,0,7,98.50%,12,16,63.60%,4,5
95.90%,120,136,44.90%,33,47,27.60%,28,29,8.50%,0,1,4.20%,0,3,24.30%,2,4
38.20%,60,73,8.10%,11,21,2.80%,14,24,31.40%,6,12,76.40%,4,8,50.50%,4,5
0.00%,0,3,53.40%,33,43,76.30%,42,49,83.00%,12,14,39.00%,0,1,44.70%,2,4
38.10%,60,78,28.10%,22,26,12.50%,14,21,23.70%,0,6,43.80%,0,1,6.00%,0,1
75.50%,80,98,16.50%,11,14,57.50%,28,30,58.60%,6,13,15.20%,0,0,14.50%,2,3
55.60%,60,77,89.00%,55,58,31.30%,28,36,58.80%,6,9,23.70%,0,4,70.00%,4,5
82.40%,100,109,90.50%,55,67,90.10%,56,63,55.90%,6,8,88.60%,8,12,59.30%,4,6
0.30%,0,19,34.70%,22,27,70.30%,42,48,32.90%,6,9,64.40%,4,8,26.10%,2,4
12.70%,40,44,94.70%,55,67,58.50%,28,34,6.50%,0,8,98.60%,16,17,92.20%,6,7
94.50%,120,138,23.20%,22,34,63.50%,42,44,39.20%,6,13,26.50%,0,1,78.60%,4,6
42.10%,60,79,57.50%,33,37,55.00%,28,34,25.30%,0,0,20.60%,0,3,29.30%,2,3
66.00%,80,83,80.90%,44,57,42.20%,28,32,84.90%,12,15,46.70%,0,3,90.10%,6,7
89.90%,120,140,46.50%,33,44,9.50%,14,17,70.80%,12,13,91.30%,8,10,60.90%,4,6
70.70%,80,87,92.30%,55,65,4.10%,14,19,67.60%,6,7,63.80%,0,4,26.00%,2,3
5.60%,20,28,77.80%,44,50,34.90%,28,38,58.70%,6,7,14.50%,0,2,76.40%,4,5
44.70%,60,62,28.30%,22,34,32.70%,28,39,21.00%,0,2,24.20%,0,0,63.80%,4,6
42.60%,60,64,78.30%,44,54,51.00%,28,39,62.60%,6,7,65.10%,4,8,12.80%,2,3
58.40%,80,89,52.30%,33,39,62.50%,42,52,66.50%,6,7,53.40%,0,2,86.80%,6,7
94.00%,120,125,71.30%,33,46,6.60%,14,23,59.10%,6,14,94.40%,8,9,25.30%,2,4
13.80%,40,58,36.00%,22,25,22.40%,28,38,11.90%,0,4,26.30%,0,0,95.60%,6,7
27.50%,40,44,13.50%,11,25,26.60%,28,38,92.90%,18,23,20.10%,0,0,65.80%,4,6
91.10%,120,121,24.20%,22,33,18.70%,14,17,88.30%,12,15,38.20%,0,1,23.60%,2,3
69.50%,80,100,75.50%,44,57,71.90%,42,52,94.90%,18,26,100.00%,24,27,53.30%,4,6
33.40%,60,64,25.70%,22,25,53.00%,28,30,1.30%,0,1,50.80%,0,3,62.70%,4,6
7.60%,20,29,79.50%,44,58,12.40%,14,21,11.40%,0,6,9.50%,0,2,46.90%,2,3
51.90%,60,70,11.70%,11,22,9.80%,14,16,94.00%,18,26,27.40%,0,3,21.20%,2,3
47.60%,60,67,30.20%,22,33,16.40%,14,20,59.80%,6,14,79.40%,4,7,28.80%,2,3
15.70%,40,41,80.30%,44,56,60.70%,28,31,94.10%,18,25,3.60%,0,0,84.90%,4,5
95.30%,120,139,68.50%,33,34,20.50%,28,32,24.00%,0,6,11.90%,0,2,13.30%,2,3
65.00%,80,96,79.80%,44,48,14.80%,14,24,62.50%,6,7,31.10%,0,0,5.30%,0,1
13.20%,40,46,56.60%,33,43,40.30%,28,35,37.00%,6,10,40.70%,0,4,35.00%,2,4
73.10%,80,90,1.50%,0,4,25.60%,28,31,47.50%,6,7,65.10%,4,5,51.80%,4,5
23.60%,40,41,86.50%,44,48,48.80%,28,39,50.10%,6,11,17.30%,0,0,8.20%,0,1
89.30%,100,106,69.40%,33,38,38.80%,28,36,84.90%,12,19,8.60%,0,2,50.90%,4,5
94.70%,120,131,59.60%,33,40,98.50%,70,75,85.90%,12,17,75.20%,4,6,87.10%,6,7
8.30%,20,29,18.30%,22,35,18.80%,14,24,14.70%,0,6,13.10%,0,1,55.30%,4,5
38.60%,60,67,78.40%,44,45,10.50%,14,15,75.40%,12,20,13.70%,0,4,87.50%,6,7
25.20%,40,50,26.80%,22,34,17.30%,14,16,98.80%,24,30,35.50%,0,1,9.70%,0,0
91.30%,120,124,60.60%,33,39,25.40%,28,30,38.60%,6,10,60.90%,0,1,36.20%,2,3
97.50%,140,159,96.10%,66,68,86.40%,42,52,31.40%,6,11,61.10%,0,3,65.80%,4,6
94.40%,120,135,24.90%,22,33,20.90%,28,34,28.50%,6,12,68.20%,4,8,15.20%,2,4
43.30%,60,67,75.80%,44,51,90.70%,56,61,30.60%,6,11,83.60%,4,7,78.80%,4,5
21.30%,40,44,24.70%,22,32,89.90%,56,62,94.70%,18,25,94.00%,8,11,21.00%,2,4
61.60%,80,87,67.90%,33,36,27.50%,28,31,35.70%,6,7,40.10%,0,1,40.80%,2,3
7.70%,20,32,39.80%,22,33,31.30%,28,31,57.80%,6,10,77.60%,4,5,19.40%,2,4
52.20%,60,66,66.40%,33,47,24.00%,28,36,18.80%,0,5,99.10%,16,17,68.90%,4,5
54.00%,60,66,81.00%,44,55,16.00%,14,24,24.50%,0,7,42.50%,0,3,70.80%,4,6
19.40%,40,56,74.90%,44,48,91.30%,56,62,57.80%,6,14,93.50%,8,12,11.60%,2,4
78.10%,80,95,52.70%,33,35,4.70%,14,15,14.90%,0,3,19.00%,0,1,19.30%,2,3
36.40%,60,73,95.90%,66,73,84.20%,42,43,6.90%,0,2,59.80%,0,0,26.90%,2,3
17.20%,40,42,45.50%,33,36,35.90%,28,38,52.30%,6,8,13.30%,0,0,85.10%,4,5
59.90%,80,94,78.10%,44,50,35.40%,28,37,19.40%,0,8,26.30%,0,0,46.40%,2,3
5.50%,20,37,59.80%,33,41,97.10%,70,79,58.40%,6,7,75.40%,4,8,84.20%,4,6
3.10%,20,30,4.80%,11,19,15.30%,14,25,11.50%,0,3,87.80%,4,6,10.50%,2,4
28.60%,40,59,50.30%,33,47,84.40%,42,50,67.60%,6,8,30.20%,0,0,18.60%,2,3
79.10%,100,102,77.90%,44,52,68.80%,42,44,39.20%,6,10,97.70%,12,13,52.10%,4,5
49.50%,60,80,33.30%,22,34,64.10%,42,50,71.10%,12,13,18.50%,0,1,61.10%,4,6
96.80%,140,153,20.20%,22,25,99.10%,70,76,90.60%,18,23,96.70%,12,15,14.00%,2,3
76.00%,80,86,47.60%,33,41,33.70%,28,38,27.80%,6,9,65.70%,4,8,72.50%,4,6
80.40%,100,102,59.10%,33,38,23.90%,28,36,47.80%,6,14,27.50%,0,2,39.60%,2,3
50.60%,60,72,32.80%,22,25,43.50%,28,34,54.10%,6,7,33.40%,0,3,12.00%,2,4
59.70%,80,82,32.10%,22,30,22.10%,28,35,56.80%,6,7,57.30%,0,2,96.80%,6,7
90.90%,120,126,6.80%,11,15,65.90%,42,50,54.50%,6,7,41.00%,0,4,54.50%,4,5
43.80%,60,72,58.00%,33,45,86.90%,42,53,79.30%,12,19,36.00%,0,4,42.70%,2,4
4.50%,20,24,30.30%,22,23,73.80%,42,53,95.60%,18,23,35.70%,0,4,35.40%,2,4
39.30%,60,62,64.80%,33,34,20.30%,28,37,13.00%,0,1,69.80%,4,5,69.60%,4,5
91.60%,120,138,47.70%,33,46,24.00%,28,35,88.10%,12,13,4.80%,0,2,3.20%,0,0
35.90%,60,64,36.60%,22,27,45.80%,28,38,19.00%,0,1,28.60%,0,0,50.40%,4,5
16.10%,40,60,67.10%,33,44,95.30%,56,64,32.50%,6,11,83.10%,4,7,7.40%,0,0
66.70%,80,81,25.20%,22,25,16.70%,14,18,8.20%,0,1,43.50%,0,3,55.90%,4,5
43.70%,60,77,53.70%,33,45,42.10%,28,32,69.80%,12,20,29.40%,0,4,83.70%,4,6
